date,ORNL,OSBS,TALL,month
2018-01-01,6.83,15.88,11.73,1
2018-01-09,9.89,22.65,16.52,1
2018-01-17,12.72,25.19,18.63,1
2018-01-25,13.25,29.36,20.27,1
2018-02-02,13.12,36.25,22.59,2
2018-02-10,15.5,40.21,26.36,2
2018-02-18,32.02,54.13,43.03,2
2018-02-26,25.34,45.61,37.0,2
2018-03-06,23.18,44.57,37.56,3
2018-03-14,31.57,51.76,35.54,3
2018-03-22,26.1,54.55,44.2,3
2018-03-30,35.97,67.08,56.76,3
2018-04-07,41.71,60.51,63.16,4
2018-04-15,44.57,68.01,66.5,4
2018-04-23,63.25,90.05,88.47,4
2018-05-01,100.21,84.85000000000001,110.95,5
2018-05-09,114.66,78.08,126.31,5
2018-05-17,112.56,85.36,101.56,5
2018-05-25,93.46,91.33,98.44,5
2018-06-02,134.81,107.65,138.72,6
2018-06-10,126.4,108.14,108.86,6
2018-06-18,125.23,119.15,112.7,6
2018-06-26,113.25,109.28,119.94,6
2018-07-04,135.11,99.04,128.76,7
2018-07-12,135.96,86.56,110.84,7
2018-07-20,119.19,89.65,131.43,7
2018-07-28,100.5,111.13,100.6,7
2018-08-05,110.53,105.78,110.68,8
2018-08-13,97.62,105.62,98.23,8
2018-08-21,105.34,96.64,113.65,8
2018-08-29,102.98,85.91,87.01,8
2018-09-06,83.24,94.17,87.24,9
2018-09-14,83.86,93.76,99.2,9
2018-09-22,54.46,84.49,72.15,9
2018-09-30,78.12,74.73,79.2,9
2018-10-08,53.370000000000005,66.58,65.65,10
2018-10-16,37.48,59.96,39.92,10
2018-10-24,27.99,49.99,42.84,10
2018-11-01,24.01,48.22,30.57,11
2018-11-09,11.82,39.03,16.580000000000002,11
2018-11-17,16.45,34.6,24.43,11
2018-11-25,12.42,25.6,21.37,11
2018-12-03,10.55,27.87,14.65,12
2018-12-11,11.46,23.58,14.49,12
2018-12-19,10.48,26.85,14.12,12
2018-12-27,11.37,29.64,16.65,12
2019-01-01,15.37,34.94,20.72,1
2019-01-09,10.35,25.34,17.26,1
2019-01-17,10.02,33.31,15.72,1
2019-01-25,14.19,25.94,21.65,1
2019-02-02,20.49,37.72,28.91,2
2019-02-10,13.49,36.26,22.26,2
2019-02-18,18.57,46.27,28.46,2
2019-02-26,20.01,41.35,27.88,2
2019-03-06,22.72,52.96,32.72,3
2019-03-14,34.51,49.56,42.34,3
2019-03-22,36.47,64.1,51.33,3
2019-03-30,42.0,64.08,44.13,3
2019-04-07,54.72,74.77,69.54,4
2019-04-15,56.32,71.96000000000001,72.67,4
2019-04-23,91.97,84.15,93.3,4
2019-05-01,93.93,82.88,100.6,5
2019-05-09,78.83,92.03,94.46,5
2019-05-17,133.19,101.33,128.83,5
2019-05-25,136.78,98.92,142.02,5
2019-06-02,95.41,95.58,110.64,6
2019-06-10,109.03,86.0,122.98,6
2019-06-18,93.71,107.13,114.48,6
2019-06-26,139.58,107.85,114.24,6
2019-07-04,134.0,104.24,128.25,7
2019-07-12,108.61,109.61,103.51,7
2019-07-20,120.79,88.34,116.23,7
2019-07-28,112.97,105.07,115.91,7
2019-08-05,119.76,106.35,122.96,8
2019-08-13,120.38,86.16,115.6,8
2019-08-21,92.75,104.96,83.95,8
2019-08-29,112.29,95.48,113.76,8
2019-09-06,103.25,98.33,101.62,9
2019-09-14,86.77,83.16,93.34,9
2019-09-22,73.0,76.36,84.76,9
2019-09-30,61.620000000000005,67.6,70.97,9
2019-10-08,47.09,65.88,47.57,10
2019-10-16,38.26,55.29,37.02,10
2019-10-24,28.85,59.84,32.730000000000004,10
2019-11-01,22.79,43.48,31.29,11
2019-11-09,18.99,34.75,23.67,11
2019-11-17,15.63,37.52,25.45,11
2019-11-25,17.16,37.59,27.76,11
2019-12-03,13.07,32.5,20.14,12
2019-12-11,12.13,31.64,16.93,12
2019-12-19,13.01,25.17,17.44,12
2019-12-27,15.57,31.25,19.93,12
2020-01-01,13.94,29.44,19.8,1
2020-01-09,14.46,36.94,18.5,1
2020-01-17,9.87,27.41,17.240000000000002,1
2020-01-25,13.75,26.82,19.8,1
2020-02-02,14.55,37.8,25.4,2
2020-02-10,16.62,40.4,20.74,2
2020-02-18,17.35,35.4,20.15,2
2020-02-26,21.59,43.75,26.03,2
2020-03-05,24.21,48.47,40.02,3
2020-03-13,25.35,63.120000000000005,43.9,3
2020-03-21,40.83,65.36,59.6,3
2020-03-29,46.27,62.85,60.28,3
2020-04-06,57.28,64.97,69.37,4
2020-04-14,63.4,67.1,79.59,4
2020-04-22,51.03,78.17,79.54,4
2020-04-30,84.9,87.82000000000001,104.89,4
2020-05-08,76.45,81.81,95.84,5
2020-05-16,87.71000000000001,94.66,103.01,5
2020-05-24,107.88,78.61,112.38,5
2020-06-01,128.7,71.81,111.15,6
2020-06-09,127.32,102.48,131.45,6
2020-06-17,108.67,104.27,114.9,6
2020-06-25,109.67,100.7,97.63,6
2020-07-03,138.42000000000002,88.43,102.13,7
2020-07-11,140.96,105.91,132.34,7
2020-07-19,122.37,93.18,115.61,7
2020-07-27,120.13,97.08,116.2,7
2020-08-04,113.64,96.3,118.87,8
2020-08-12,106.58,96.7,110.21,8
2020-08-20,90.93,98.59,83.09,8
2020-08-28,91.39,90.34,99.63,8
2020-09-05,98.18,83.72,94.69,9
2020-09-13,72.18,57.96,70.4,9
2020-09-21,49.99,75.25,57.72,9
2020-09-29,54.46,56.14,65.98,9
2020-10-07,45.5,69.61,56.13,10
2020-10-15,43.3,56.53,55.89,10
2020-10-23,31.78,56.82,42.67,10
2020-10-31,27.28,45.99,36.08,10
2020-11-08,29.67,37.85,33.09,11
2020-11-16,19.74,35.61,26.81,11
2020-11-24,14.73,36.38,18.9,11
2020-12-02,11.97,24.85,17.64,12
2020-12-10,11.97,27.28,16.51,12
2020-12-18,10.16,25.5,16.09,12
2020-12-26,10.98,26.37,18.06,12
2021-01-01,11.59,43.32,19.21,1
