date,TALL,OSBS,ORNL
2018-01-01,0.0,1.33,0.0
2018-01-09,2.44,4.0200000000000005,0.39
2018-01-17,2.43,3.42,0.5
2018-01-25,3.19,3.38,0.92
2018-02-02,3.36,3.28,0.33
2018-02-10,4.39,3.86,1.31
2018-02-18,4.3100000000000005,3.92,2.13
2018-02-26,4.3500000000000005,3.63,1.84
2018-03-06,5.05,3.78,1.29
2018-03-14,4.87,4.05,2.12
2018-03-22,5.14,3.93,1.93
2018-03-30,5.71,4.49,3.36
2018-04-07,6.12,4.62,4.41
2018-04-15,7.21,4.62,7.12
2018-04-23,8.16,4.64,8.53
2018-05-01,7.390000000000001,4.59,8.790000000000001
2018-05-09,5.99,3.75,7.46
2018-05-17,7.37,4.72,8.56
2018-05-25,7.61,4.98,8.11
2018-06-02,7.45,4.66,8.71
2018-06-10,7.98,5.72,7.26
2018-06-18,7.61,5.72,9.18
2018-06-26,7.44,6.2,8.35
2018-07-04,8.42,6.13,9.06
2018-07-12,8.18,5.23,9.01
2018-07-20,6.640000000000001,6.21,9.25
2018-07-28,5.69,5.88,8.22
2018-08-05,6.0,5.59,9.08
2018-08-13,6.24,5.87,8.11
2018-08-21,6.93,5.89,8.81
2018-08-29,6.15,5.14,7.62
2018-09-06,7.2,5.65,8.120000000000001
2018-09-14,5.68,5.12,7.74
2018-09-22,6.44,4.7,6.82
2018-09-30,5.67,4.98,7.07
2018-10-08,5.43,4.12,6.12
2018-10-16,5.04,4.0600000000000005,5.83
2018-10-24,4.93,4.29,4.21
2018-11-01,4.84,3.19,3.16
2018-11-09,2.57,3.87,1.04
2018-11-17,3.8,3.9,1.62
2018-11-25,3.76,3.21,1.11
2018-12-03,1.97,3.35,0.52
2018-12-11,2.47,3.26,0.96
2018-12-19,2.33,3.34,0.7000000000000001
2018-12-27,2.48,2.98,1.06
2019-01-01,3.43,3.59,1.44
2019-01-09,2.67,3.59,0.47
2019-01-17,2.5500000000000003,3.48,0.43
2019-01-25,2.47,2.8000000000000003,0.06
2019-02-02,4.29,3.63,1.85
2019-02-10,3.62,3.68,0.9
2019-02-18,4.5,3.76,1.47
2019-02-26,4.67,3.48,1.41
2019-03-06,4.2,4.12,1.69
2019-03-14,4.87,3.64,2.99
2019-03-22,5.12,4.64,2.79
2019-03-30,5.89,4.69,4.15
2019-04-07,6.4,4.92,5.04
2019-04-15,8.0,4.99,7.28
2019-04-23,7.37,4.91,7.59
2019-05-01,8.18,5.55,8.45
2019-05-09,8.23,5.08,9.61
2019-05-17,7.52,4.87,8.38
2019-05-25,6.2700000000000005,4.23,7.28
2019-06-02,7.03,4.79,7.57
2019-06-10,7.56,5.92,8.66
2019-06-18,6.92,4.8100000000000005,9.07
2019-06-26,7.13,4.59,8.06
2019-07-04,6.82,5.63,8.56
2019-07-12,7.19,4.92,8.25
2019-07-20,7.82,5.57,8.91
2019-07-28,7.9,4.87,8.56
2019-08-05,8.27,5.44,8.28
2019-08-13,6.2700000000000005,5.74,7.23
2019-08-21,6.37,5.49,7.82
2019-08-29,6.98,5.14,7.42
2019-09-06,5.8500000000000005,4.15,6.26
2019-09-14,5.5,4.79,5.67
2019-09-22,5.32,4.36,5.63
2019-09-30,4.68,4.25,4.95
2019-10-08,5.26,4.61,6.36
2019-10-16,5.82,3.83,5.89
2019-10-24,5.62,4.2700000000000005,4.33
2019-11-01,5.22,3.71,2.98
2019-11-09,3.72,3.89,1.83
2019-11-17,4.72,3.98,1.96
2019-11-25,4.08,3.79,1.96
2019-12-03,3.51,3.48,1.28
2019-12-11,2.96,3.18,1.08
2019-12-19,2.9,3.11,1.31
2019-12-27,3.61,3.21,1.54
2020-01-01,3.43,3.4,1.16
2020-01-09,2.79,3.11,1.47
2020-01-17,2.45,2.94,0.28
2020-01-25,3.35,3.03,0.81
2020-02-02,3.96,3.21,1.36
2020-02-10,3.84,3.54,1.11
2020-02-18,3.26,3.53,1.03
2020-02-26,3.88,3.47,1.32
2020-03-05,4.8500000000000005,3.41,2.2
2020-03-13,4.37,3.14,2.02
2020-03-21,5.94,3.37,3.1
2020-03-29,5.78,3.48,4.34
2020-04-06,6.59,3.56,6.0200000000000005
2020-04-14,8.15,4.37,8.790000000000001
2020-04-22,7.33,3.99,7.4
2020-04-30,8.88,4.72,9.38
2020-05-08,8.05,4.83,10.21
2020-05-16,8.09,4.34,9.26
2020-05-24,8.51,4.79,9.91
2020-06-01,8.120000000000001,4.75,8.68
2020-06-09,8.78,5.67,9.18
2020-06-17,8.1,4.82,9.2
2020-06-25,7.78,4.13,8.78
2020-07-03,9.1,5.5,8.42
2020-07-11,9.15,5.07,7.88
2020-07-19,8.84,5.07,8.75
2020-07-27,8.03,5.89,9.83
2020-08-04,7.38,5.3500000000000005,9.31
2020-08-12,7.1000000000000005,5.37,9.2
2020-08-20,6.8100000000000005,4.42,7.69
2020-08-28,7.73,4.8100000000000005,8.57
2020-09-05,6.94,4.72,8.3
2020-09-13,6.11,4.65,7.75
2020-09-21,6.7,4.28,7.66
2020-09-29,7.19,5.03,7.890000000000001
2020-10-07,6.0600000000000005,4.84,6.32
2020-10-15,5.93,4.24,5.86
2020-10-23,5.61,3.91,4.43
2020-10-31,5.0200000000000005,4.22,4.09
2020-11-08,4.6000000000000005,3.61,3.22
2020-11-16,4.26,3.98,2.51
2020-11-24,3.61,3.79,1.65
2020-12-02,2.66,3.58,0.8
2020-12-10,3.18,3.49,1.11
2020-12-18,2.49,3.58,0.59
2020-12-26,3.09,3.82,0.73
2021-01-01,2.85,3.47,0.91
2021-01-09,1.68,3.33,0.38
2021-01-17,2.73,3.56,0.79
2021-01-25,3.65,4.0200000000000005,0.8300000000000001
2021-02-02,3.08,3.71,0.62
2021-02-10,1.59,4.11,0.25
2021-02-18,4.18,3.93,1.63
2021-02-26,3.86,4.16,1.68
2021-03-06,4.14,4.39,1.99
2021-03-14,4.21,4.08,2.52
2021-03-22,4.42,4.25,3.22
2021-03-30,6.13,5.21,4.64
2021-04-07,5.84,4.65,5.01
2021-04-15,7.34,5.41,8.34
2021-04-23,7.18,5.38,7.99
2021-05-01,8.05,4.93,8.86
2021-05-09,8.74,5.63,9.96
2021-05-17,7.04,5.89,8.08
2021-05-25,7.67,4.93,8.83
2021-06-02,7.72,5.22,8.21
2021-06-10,7.81,5.0600000000000005,9.46
2021-06-18,8.85,4.91,8.48
2021-06-26,8.870000000000001,5.63,8.13
2021-07-04,8.620000000000001,5.07,8.33
2021-07-12,7.94,5.43,8.4
2021-07-20,8.55,5.41,7.3
2021-07-28,7.79,5.28,7.16
2021-08-05,7.6,5.41,7.49
2021-08-13,7.98,4.49,8.16
2021-08-21,7.890000000000001,4.72,8.15
2021-08-29,7.61,4.91,7.61
2021-09-06,7.59,4.7,7.83
2021-09-14,7.2,4.65,6.29
2021-09-22,7.9,5.11,7.8
2021-09-30,7.01,4.26,5.89
2021-10-08,5.94,5.14,6.41
2021-10-16,5.76,4.04,6.05
2021-10-24,4.71,4.09,4.61
2021-11-01,5.0200000000000005,4.36,3.22
2021-11-09,4.91,4.05,3.21
2021-11-17,4.45,3.66,1.78
2021-11-25,3.64,3.82,1.43
2021-12-03,3.08,3.74,1.62
2021-12-11,3.5,3.43,1.52
2021-12-19,3.09,3.19,1.48
2021-12-27,2.92,3.92,1.31
2022-01-01,2.74,3.64,1.07
2022-01-09,2.33,3.17,0.63
2022-01-17,1.73,3.0,0.29
2022-01-25,2.79,2.87,0.42
2022-02-02,2.48,3.36,0.89
2022-02-10,3.64,3.71,1.67
2022-02-18,4.12,3.88,1.61
2022-02-26,3.81,3.75,2.12
2022-03-06,4.6000000000000005,4.19,2.3000000000000003
2022-03-14,4.41,4.4,2.73
2022-03-22,4.3,4.28,2.81
2022-03-30,4.89,4.3500000000000005,3.09
2022-04-07,5.73,4.96,4.24
2022-04-15,6.3100000000000005,5.12,5.73
2022-04-23,6.94,5.05,7.59
2022-05-01,7.72,4.43,8.1
2022-05-09,7.140000000000001,5.49,9.6
2022-05-17,6.68,4.26,7.930000000000001
2022-05-25,8.25,4.9,9.6
2022-06-02,7.11,5.34,8.94
2022-06-10,6.74,5.01,6.94
2022-06-18,5.9,5.03,7.16
2022-06-26,7.78,5.4,8.2
2022-07-04,8.09,5.09,8.56
2022-07-12,7.2,5.21,7.29
2022-07-20,7.12,5.28,8.16
2022-07-28,6.71,4.5600000000000005,8.27
2022-08-05,6.93,4.6000000000000005,9.07
2022-08-13,6.97,4.44,7.71
2022-08-21,7.0,4.45,7.97
2022-08-29,6.26,4.38,7.11
2022-09-06,6.53,4.1,7.9
2022-09-14,5.9,4.74,7.4
2022-09-22,5.43,4.15,6.890000000000001
2022-09-30,5.79,4.57,6.36
2022-10-08,5.43,3.91,5.63
2022-10-16,5.55,4.12,4.62
2022-10-24,4.8,4.3500000000000005,3.5500000000000003
2022-11-01,4.36,3.89,2.83
2022-11-09,3.83,3.63,2.12
2022-11-17,2.99,3.13,1.44
2022-11-25,3.72,3.12,2.03
2022-12-03,3.11,3.5700000000000003,1.14
2022-12-11,3.21,3.0500000000000003,1.47
2022-12-19,0.65,2.5500000000000003,0.0
2022-12-27,2.86,3.26,1.13
