Variable,Site,Product,Month,Mean,Std
GPP,TALL,MODIS,1.0,0.9094792845789474,0.0796876241287051
GPP,TALL,MODIS,2.0,1.145515764,0.1071362835480494
GPP,TALL,MODIS,3.0,2.203085406095238,0.3494373900530009
GPP,TALL,MODIS,4.0,5.286792972857143,0.5783147720617727
GPP,TALL,MODIS,5.0,8.324015268190475,0.31334661298590466
GPP,TALL,MODIS,6.0,9.608539168809525,0.2940284019334063
GPP,TALL,MODIS,7.0,9.77257486395238,0.46119617281196257
GPP,TALL,MODIS,8.0,8.363777422450001,0.41561178519306113
GPP,TALL,MODIS,9.0,5.853562106526316,0.263729886366763
GPP,TALL,MODIS,10.0,3.4031808759999995,0.20772641906511838
GPP,TALL,MODIS,11.0,1.6598371007368422,0.11323677707518928
GPP,TALL,MODIS,12.0,0.9874926155500001,0.06677675114163353
GPP,TALL,FLUXCOM,1.0,0.5576004694117647,0.0678151476914427
GPP,TALL,FLUXCOM,2.0,0.5646432702941176,0.05001114944528228
GPP,TALL,FLUXCOM,3.0,0.9530575629411766,0.06546292674640729
GPP,TALL,FLUXCOM,4.0,2.0813024088235292,0.09983453553693122
GPP,TALL,FLUXCOM,5.0,4.645352414705882,0.12080442855992642
GPP,TALL,FLUXCOM,6.0,6.83414069117647,0.15284903744937836
GPP,TALL,FLUXCOM,7.0,7.730264764705883,0.1963541329498218
GPP,TALL,FLUXCOM,8.0,7.333971873529412,0.20173727717985884
GPP,TALL,FLUXCOM,9.0,5.6964873029411764,0.2165121054577115
GPP,TALL,FLUXCOM,10.0,3.8642943294117647,0.22754058037695638
GPP,TALL,FLUXCOM,11.0,2.16574345,0.15971269397936666
GPP,TALL,FLUXCOM,12.0,1.0000284332352942,0.11673014881171014
GPP,OSBS,MODIS,1.0,1.7222783216315791,0.14575894962845626
GPP,OSBS,MODIS,2.0,2.0752631788500002,0.15401612867085776
GPP,OSBS,MODIS,3.0,3.3338750601428573,0.29295225207054554
GPP,OSBS,MODIS,4.0,5.855430469761905,0.31924624125054274
GPP,OSBS,MODIS,5.0,7.393635991666667,0.21110875369942853
GPP,OSBS,MODIS,6.0,7.946140059571428,0.23638866792854052
GPP,OSBS,MODIS,7.0,7.953196923428571,0.27691974009346615
GPP,OSBS,MODIS,8.0,7.36634990565,0.2092808096173987
GPP,OSBS,MODIS,9.0,5.886676080736842,0.13899429659792586
GPP,OSBS,MODIS,10.0,4.06695264395,0.10758273016760514
GPP,OSBS,MODIS,11.0,2.6180949502105264,0.13526439903855067
GPP,OSBS,MODIS,12.0,1.8519595279,0.11801068199321298
GPP,OSBS,FLUXCOM,1.0,1.330946906764706,0.16946285699251384
GPP,OSBS,FLUXCOM,2.0,1.4258118911764708,0.15723627162381393
GPP,OSBS,FLUXCOM,3.0,1.9529724029411764,0.17162347129663874
GPP,OSBS,FLUXCOM,4.0,3.1345807941176473,0.224519351217519
GPP,OSBS,FLUXCOM,5.0,4.688123455882353,0.29225289339809396
GPP,OSBS,FLUXCOM,6.0,5.533436920588236,0.3151433064582849
GPP,OSBS,FLUXCOM,7.0,6.3610624705882355,0.39166915058578766
GPP,OSBS,FLUXCOM,8.0,6.596462932352941,0.2786451547419871
GPP,OSBS,FLUXCOM,9.0,5.894580667647059,0.261406924587885
GPP,OSBS,FLUXCOM,10.0,4.684096314705882,0.2226331306102761
GPP,OSBS,FLUXCOM,11.0,3.1160906352941176,0.2246855279130137
GPP,OSBS,FLUXCOM,12.0,1.8295101411764707,0.23199044124777563
GPP,ORNL,MODIS,1.0,0.622136107631579,0.08476266098397907
GPP,ORNL,MODIS,2.0,0.75109747605,0.11594124747585183
GPP,ORNL,MODIS,3.0,1.662188480190476,0.32767976579802793
GPP,ORNL,MODIS,4.0,4.431775333428571,0.5599700944687439
GPP,ORNL,MODIS,5.0,8.474454330380953,0.496143694446117
GPP,ORNL,MODIS,6.0,10.982149791904762,0.35104024202162476
GPP,ORNL,MODIS,7.0,11.661610294285714,0.46959924587854035
GPP,ORNL,MODIS,8.0,10.1681600403,0.32704076475082594
GPP,ORNL,MODIS,9.0,6.90428461368421,0.4252446965716527
GPP,ORNL,MODIS,10.0,3.42166659735,0.33691546094705116
GPP,ORNL,MODIS,11.0,1.284331865894737,0.19153640939547156
GPP,ORNL,MODIS,12.0,0.7394805826499999,0.1147117598467409
GPP,ORNL,FLUXCOM,1.0,0.22581394999999999,0.04191349662243965
GPP,ORNL,FLUXCOM,2.0,0.1720191505882353,0.039901638609281025
GPP,ORNL,FLUXCOM,3.0,0.4334415588235294,0.0462944147061089
GPP,ORNL,FLUXCOM,4.0,1.385411705882353,0.07608432725597637
GPP,ORNL,FLUXCOM,5.0,4.081380920588235,0.10678458521548946
GPP,ORNL,FLUXCOM,6.0,7.868443485294118,0.10429467700091063
GPP,ORNL,FLUXCOM,7.0,9.390411691176471,0.11564145657434691
GPP,ORNL,FLUXCOM,8.0,9.450039426470587,0.10508547134307354
GPP,ORNL,FLUXCOM,9.0,7.349872070588235,0.12752200181944262
GPP,ORNL,FLUXCOM,10.0,4.405052326470589,0.17159895036152156
GPP,ORNL,FLUXCOM,11.0,1.909375111764706,0.1288689023685458
GPP,ORNL,FLUXCOM,12.0,0.5744105355882353,0.09254881966036363
GPP,TALL,DEF,1.0,1.5676463861707317,0.18037494640231577
GPP,TALL,DEF,2.0,1.5617699695238094,0.18391592256449169
GPP,TALL,DEF,3.0,2.0899878019285714,0.2855356698525353
GPP,TALL,DEF,4.0,3.223923851880952,0.3314970088377394
GPP,TALL,DEF,5.0,5.0802116527142855,0.5346262209917426
GPP,TALL,DEF,6.0,7.478636557071429,0.337112729536052
GPP,TALL,DEF,7.0,7.920265283333334,0.44153856715872963
GPP,TALL,DEF,8.0,7.158696986166667,0.7651837059867329
GPP,TALL,DEF,9.0,5.821156468928571,0.9348052816427286
GPP,TALL,DEF,10.0,4.761100167166667,0.7165626852982642
GPP,TALL,DEF,11.0,3.878957206285714,0.403170570602774
GPP,TALL,DEF,12.0,2.1490611100238093,0.17826417931687857
GPP,TALL,CAL,1.0,0.9798694714390244,0.14322532841113703
GPP,TALL,CAL,2.0,0.9939359563571428,0.11738847916943651
GPP,TALL,CAL,3.0,1.368689390595238,0.1729810728248084
GPP,TALL,CAL,4.0,2.2109849328095237,0.22410076185056518
GPP,TALL,CAL,5.0,3.5353166177380952,0.35376799443194007
GPP,TALL,CAL,6.0,5.4626219795476185,0.32880844694346006
GPP,TALL,CAL,7.0,5.954680388428572,0.5273415234878029
GPP,TALL,CAL,8.0,5.292962028952381,0.676027313324069
GPP,TALL,CAL,9.0,4.16139478602381,0.690919733486342
GPP,TALL,CAL,10.0,3.239772067333333,0.5556756587524714
GPP,TALL,CAL,11.0,2.4058290077380953,0.3837507265702684
GPP,TALL,CAL,12.0,1.2176339053571428,0.22045513864132532
GPP,OSBS,DEF,1.0,3.728890701195122,0.29219880203067955
GPP,OSBS,DEF,2.0,3.9130999044761903,0.30136136692413423
GPP,OSBS,DEF,3.0,5.077443571452381,0.35717923023793186
GPP,OSBS,DEF,4.0,6.682444459142857,0.3206817135533112
GPP,OSBS,DEF,5.0,7.920507813619048,0.46125248277123565
GPP,OSBS,DEF,6.0,8.370810824166668,0.8658051757731648
GPP,OSBS,DEF,7.0,8.40589737157143,0.9545135114562843
GPP,OSBS,DEF,8.0,8.49875525457143,0.6903435987194381
GPP,OSBS,DEF,9.0,7.929318107738096,0.5280187254664713
GPP,OSBS,DEF,10.0,7.026837727357143,0.5184998456913573
GPP,OSBS,DEF,11.0,5.898844779380953,0.43284469627834343
GPP,OSBS,DEF,12.0,4.508968140452381,0.3200323837728126
GPP,OSBS,CAL,1.0,3.290747792902439,0.5509129591764733
GPP,OSBS,CAL,2.0,3.6361864897380953,0.5491423446549376
GPP,OSBS,CAL,3.0,4.8380299563571425,0.4680359536481495
GPP,OSBS,CAL,4.0,6.442327182571428,0.45808524305573156
GPP,OSBS,CAL,5.0,7.588882567452381,1.0234619336317412
GPP,OSBS,CAL,6.0,7.888437923166667,1.8028318027600183
GPP,OSBS,CAL,7.0,7.700721971809524,1.8232336495140775
GPP,OSBS,CAL,8.0,7.010269393928572,1.4143686018221568
GPP,OSBS,CAL,9.0,6.185228727523809,1.274051826257503
GPP,OSBS,CAL,10.0,5.384140210452381,1.2180970449271376
GPP,OSBS,CAL,11.0,4.498121177690477,0.9804575216288716
GPP,OSBS,CAL,12.0,3.616053679261905,0.7407693502908249
GPP,ORNL,DEF,1.0,0.919471963609756,0.17931303969157245
GPP,ORNL,DEF,2.0,0.7902876020238094,0.24223397952086342
GPP,ORNL,DEF,3.0,0.8817448769047619,0.427438307692472
GPP,ORNL,DEF,4.0,1.8049689406666667,0.5973244771734577
GPP,ORNL,DEF,5.0,4.730262895595239,1.514114956477424
GPP,ORNL,DEF,6.0,10.182917466761905,0.7003714706613706
GPP,ORNL,DEF,7.0,11.201013869714286,0.7327794243941219
GPP,ORNL,DEF,8.0,10.173535738714286,1.3526602292917211
GPP,ORNL,DEF,9.0,7.921519228619047,1.5726462999899622
GPP,ORNL,DEF,10.0,5.688252593642857,1.4324489485136627
GPP,ORNL,DEF,11.0,4.139677077119048,0.9823141544998758
GPP,ORNL,DEF,12.0,1.3690374373333334,0.25693887480626426
GPP,ORNL,CAL,1.0,0.9266750799268293,0.15196377740102385
GPP,ORNL,CAL,2.0,0.7905667020714285,0.24570775575795015
GPP,ORNL,CAL,3.0,0.8714468305476191,0.42280620552305076
GPP,ORNL,CAL,4.0,1.8009950266904762,0.5641358606961692
GPP,ORNL,CAL,5.0,3.8874115624285714,1.0324895150495859
GPP,ORNL,CAL,6.0,7.888037365595238,0.5966467980918035
GPP,ORNL,CAL,7.0,8.989745693404762,0.4256961185529223
GPP,ORNL,CAL,8.0,8.341410016357143,0.6333965756494047
GPP,ORNL,CAL,9.0,6.872520293523809,0.7450251279256871
GPP,ORNL,CAL,10.0,5.074171974476191,0.7885447337180301
GPP,ORNL,CAL,11.0,3.4647420431190477,0.557428792051235
GPP,ORNL,CAL,12.0,1.3890200843333333,0.20822765442358535
ET,TALL,ERA5,1.0,28.604874337948715,3.6221993887275974
ET,TALL,ERA5,2.0,40.66472344717949,4.5840068934736005
ET,TALL,ERA5,3.0,66.08572756999999,5.571072889168345
ET,TALL,ERA5,4.0,100.0806043025641,4.1286163283509785
ET,TALL,ERA5,5.0,118.91694025897436,5.355371290304235
ET,TALL,ERA5,6.0,125.36099453307692,9.322064516177782
ET,TALL,ERA5,7.0,119.54424990871794,10.35726926517661
ET,TALL,ERA5,8.0,102.00015776615385,10.89968633209235
ET,TALL,ERA5,9.0,82.2311138374359,9.202637306009345
ET,TALL,ERA5,10.0,58.93886534205129,6.106689321184104
ET,TALL,ERA5,11.0,41.00690841282051,3.1951119945473323
ET,TALL,ERA5,12.0,29.06569530282051,3.148380051955694
ET,TALL,GLEAM4,1.0,25.050725697692307,2.7909618652903534
ET,TALL,GLEAM4,2.0,30.423562714102562,3.313909817379307
