Variable,Site,Product,Month,Mean,Std
GPP,TALL,DEF,1,1.6017525901025993,0.10423943666797883
GPP,TALL,DEF,2,1.6543643092990468,0.1757757941939324
GPP,TALL,DEF,3,2.1087148329865535,0.21310818536729478
GPP,TALL,DEF,4,3.4042376850711142,0.23082457966132827
GPP,TALL,DEF,5,5.239051122710316,0.5315850479312672
GPP,TALL,DEF,6,7.497498966359487,0.34213473539647604
GPP,TALL,DEF,7,7.836801113822418,0.5645621005207975
GPP,TALL,DEF,8,6.94197019938921,1.107459303997664
GPP,TALL,DEF,9,5.618022737621541,1.1841617618246905
GPP,TALL,DEF,10,4.8986474388289905,0.6067686216030733
GPP,TALL,DEF,11,3.9572226238013637,0.33262476897502324
GPP,TALL,DEF,12,2.20071762329118,0.13096479707150827
GPP,TALL,MODIS,1,0.8988196298727497,0.057496398270588986
GPP,TALL,MODIS,2,1.1266313941851076,0.09929221533721296
GPP,TALL,MODIS,3,2.221325922737006,0.37460613679312166
GPP,TALL,MODIS,4,5.310804846809256,0.6567674519183879
GPP,TALL,MODIS,5,8.281705041491328,0.35552860367910466
GPP,TALL,MODIS,6,9.50139121209712,0.25290928055631995
GPP,TALL,MODIS,7,9.56983311230501,0.31006832188689665
GPP,TALL,MODIS,8,8.235477079315304,0.4400822390360114
GPP,TALL,MODIS,9,5.894942017707773,0.29347806590206765
GPP,TALL,MODIS,10,3.461684995623708,0.1888491988202132
GPP,TALL,MODIS,11,1.6655360378853048,0.12732331108149772
GPP,TALL,MODIS,12,0.9888235466420193,0.06477697563294192
GPP,TALL,FLUXCOM,1,0.5523024041666666,0.06327675278763106
GPP,TALL,FLUXCOM,2,0.5746141316666666,0.04784549054436274
GPP,TALL,FLUXCOM,3,0.9289224933333333,0.05541734504656845
GPP,TALL,FLUXCOM,4,2.067871391666667,0.1225502385542611
GPP,TALL,FLUXCOM,5,4.622502783333334,0.14882936329778867
GPP,TALL,FLUXCOM,6,6.805153466666667,0.14957158342669816
GPP,TALL,FLUXCOM,7,7.675719016666666,0.22791958766535428
GPP,TALL,FLUXCOM,8,7.283428316666666,0.23581371349332997
GPP,TALL,FLUXCOM,9,5.725667075,0.18402986823024692
GPP,TALL,FLUXCOM,10,3.950352966666667,0.20991436249552006
GPP,TALL,FLUXCOM,11,2.1850337,0.19472104858306682
GPP,TALL,FLUXCOM,12,0.9801570490909092,0.1638579070546164
GPP,TALL,GOSIF,1,1.055733241094261,0.1009448513974398
GPP,TALL,GOSIF,2,1.2673047044173875,0.1411479835220199
GPP,TALL,GOSIF,3,2.2712061190913686,0.43973890675842303
GPP,TALL,GOSIF,4,5.327681445286572,0.8417024305828551
GPP,TALL,GOSIF,5,8.582766499771875,0.36034348034790403
GPP,TALL,GOSIF,6,9.094730360445578,0.3060331691418855
GPP,TALL,GOSIF,7,8.737748507377924,0.4288004870437912
GPP,TALL,GOSIF,8,7.844380103660925,0.5535001217781447
GPP,TALL,GOSIF,9,6.16693174120702,0.3404540719670607
GPP,TALL,GOSIF,10,3.9657196813533364,0.23053766397490086
GPP,TALL,GOSIF,11,1.9973335284831564,0.12693885372298444
GPP,TALL,GOSIF,12,1.14613464814654,0.09123160850634536
GPP,TALL,CAL,1,0.9866582344755904,0.12428531360681741
GPP,TALL,CAL,2,1.054157551813182,0.11796856976290379
GPP,TALL,CAL,3,1.3706322885902857,0.1353545996373199
GPP,TALL,CAL,4,2.320477204478215,0.1919075242245738
GPP,TALL,CAL,5,3.642422810841845,0.34374652047264015
GPP,TALL,CAL,6,5.480313502404374,0.34206433798582875
GPP,TALL,CAL,7,5.823569219256966,0.5467755660821373
