Site,Variable,Month,NEON,CLM_Default,Best,Top10_Min,Top10_Max,Top10_P25,Top10_P75,Top10_Median
TALL,GPP,1,1.166081932471579,3.774930611272258,1.7784251186000315,1.0055992262679019,3.1063160720080463,1.3300232925212712,2.033139084743283,1.5341663543651378
TALL,GPP,2,1.3181495956295881,4.990397389117168,2.432502528233563,1.4956865960349626,3.9770550011249486,2.0494816869877535,2.7797447856120785,2.283298252298419
TALL,GPP,3,2.266061632074518,6.70224840452129,3.2182191336119548,1.9331586284260938,4.99242421805318,2.70419417509848,3.55990296712078,3.058501735579682
TALL,GPP,4,4.205292531297642,8.713219702463999,4.453398134427283,2.1822717001437444,6.447782925315603,3.6703118076420056,4.833363074462048,4.225801346685568
TALL,GPP,5,6.243637979688238,9.717474792495484,5.538388015304393,2.491139105483969,7.645460841495457,4.504173719889504,5.944953722723295,5.023749444577177
TALL,GPP,6,6.322939548179812,9.603455668128,5.432440107757291,2.435116447743643,7.765647251569891,4.409281298377805,5.797337192697222,4.922907404358612
TALL,GPP,7,5.846914052487046,9.084597416547096,5.040999945321879,2.3463120448502783,7.287450465150022,4.13763825745999,5.362789895861036,4.590265114496082
TALL,GPP,8,5.549848360258166,8.313784863421935,4.5240204724240245,2.1071138790539656,6.683932698689804,3.3907409485543143,4.795987141431581,3.9757857533129473
TALL,GPP,9,3.6544332515355387,6.97076851104,3.9312907883684085,1.62359357180755,5.142681331529762,2.641299244884573,3.939802585113848,3.3737686173603056
TALL,GPP,10,3.2482938416053035,5.631195329372903,3.0246630736515723,1.2048103784655169,4.383368423596165,1.922941794282117,3.1410697102379967,2.6787344914559172
TALL,GPP,11,2.2976440433880416,4.477574565216,2.1411994235131107,0.918382787310087,3.680345149832512,1.6274311301935789,2.407729894921164,1.8823068688655915
TALL,GPP,12,1.2391230716228738,3.7831304643096773,1.8815286176882344,0.732371094961919,3.22100633421257,1.3927933466247129,2.1098322495166357,1.6399503307948766
TALL,ET,1,19.396393589462622,20.408631677419358,27.651075380463755,20.369556238574365,56.81588770593366,29.29947527762382,42.84693664600773,36.530817765382025
TALL,ET,2,22.520437853116864,31.282595093805313,41.430273618016926,34.76846557855606,80.00537878700665,43.91264989120619,62.05031356854098,54.365115225315094
TALL,ET,3,35.87878669462481,44.54978851612903,52.10203032339773,42.947927474975586,91.1094398806172,57.324495042524035,72.93488630556291,64.2951230464443
TALL,ET,4,66.79869965623827,62.757661416666664,66.99248549143473,50.06935898462931,120.07423288027445,70.53496478398641,94.13794837792715,81.59273702303568
TALL,ET,5,83.08604572237934,76.08064857258064,85.1124628128544,59.20387592623311,138.3194958471483,83.79629583512583,101.28849480229039,94.41469251724982
TALL,ET,6,88.68773104865582,79.34870115833334,92.99318857192993,63.7087836265564,150.6427552541097,91.27321232159932,109.95988010565439,103.30279529889424
TALL,ET,7,101.75358532620136,70.4877916451613,80.81178617477417,52.09540240995346,134.14643106152934,75.98977932622356,96.62144864759138,86.02656289069884
TALL,ET,8,99.52903066301587,63.42371505376344,74.5798757614628,50.192817949479625,125.67896301515641,68.8930911556367,86.75027934966549,77.66216246543391
TALL,ET,9,74.3395950400272,48.77082613333334,62.551064268747965,33.777244393030806,106.07236952781678,46.03721875747045,72.98100117047628,56.95315135717392
TALL,ET,10,51.52885199198346,33.773958790322574,44.92989775442308,28.6417977809906,77.53344671187863,39.552592445765775,54.44496451847015,45.401358117980344
TALL,ET,11,29.01082528758645,20.456444874666666,25.120962687333424,17.45281399389108,47.23350768089294,25.2637161736687,34.98961290518443,29.778669533133506
TALL,ET,12,20.055534287578713,16.02718560403226,22.31974593189455,15.686055392988267,41.452917873859406,22.885735149825774,32.990074920077475,28.64087772393419
OSBS,GPP,1,2.227396024566023,5.444098835365161,3.287658212941663,1.1753314212593562,4.105159322957043,2.2464298187704834,3.318985241043091,2.6729445031313963
OSBS,GPP,2,2.8679921587728985,6.544972095037168,4.186447168722457,1.5456184262908692,5.171123111265392,3.014698006363325,4.072002524193632,3.3154889318128187
OSBS,GPP,3,3.3904696938826957,8.026386583772902,3.8696690673517566,1.915241765451312,5.560704802769659,3.0480624339719133,4.271614095284062,3.677720904735728
OSBS,GPP,4,4.459641241704857,8.747877953952,5.030160089850428,2.242592920144295,6.451440744495163,3.9442217122260836,5.004272439091057,4.501142504222058
OSBS,GPP,5,4.814834141561333,9.0853327296,5.165706195846005,2.5073853378492332,6.485867910492958,4.107561754331973,5.250649186793197,4.574086671162988
OSBS,GPP,6,5.4511549902769785,8.787826630367999,5.829905436842378,2.3397206097378427,7.343803931627209,4.175021774971836,5.791089616013554,4.876978788329348
OSBS,GPP,7,5.826091972011723,8.504409990565161,6.01709913074946,2.288408196426446,7.321982410144411,4.175638406551108,5.617767250801206,4.839517936125619
OSBS,GPP,8,5.019203358059524,8.025098135411612,5.690741237270874,2.1226091844865396,7.06942284701744,3.8339020539721376,5.277075290300268,4.522475562615609
OSBS,GPP,9,4.644366063967181,7.515540641376,4.934923566162486,1.9230620191660535,6.270157544052867,3.4469439018936376,4.431079296463115,4.152964251651437
OSBS,GPP,10,3.7836857722995285,6.928183043581935,4.409808647292811,1.656759687349042,5.4724028227213815,3.0915020233978803,3.8393040277217927,3.5393230070660886
OSBS,GPP,11,2.8817790545514,5.756745452255999,3.6292092652661214,1.2420807729818504,4.484584537868415,2.4916613792714726,3.1023711319903895,2.8247837671857066
OSBS,GPP,12,2.076806733839297,5.232533903163871,3.266215325878521,1.1552421847469583,4.0050019318774215,2.2471649732360666,3.0705488643424763,2.600429604846224
OSBS,ET,1,22.26952099578176,32.20877582258065,32.93058481524068,16.894132271889717,60.15770081550844,35.251541652025715,49.02737884656075,43.664207246995744
OSBS,ET,2,26.67543460666687,41.60518549557522,43.12774141345705,23.224942922592163,71.90603400979724,42.780887397272245,56.04493387043476,51.141776766095845
