Ensemble,Site,param,value,Category
LHC0005,TALL,aq_sp_yield_min,0.012277631,Top10
LHC0036,TALL,aq_sp_yield_min,0.012267375,Top10
LHC0041,TALL,aq_sp_yield_min,0.01338944,Top10
LHC0050,TALL,aq_sp_yield_min,0.016326194,Top10
LHC0057,TALL,aq_sp_yield_min,0.015753874,Top10
LHC0062,TALL,aq_sp_yield_min,0.018754632,Top10
LHC0078,TALL,aq_sp_yield_min,0.014202469,Top10
LHC0088,TALL,aq_sp_yield_min,0.012498932,Top10
LHC0115,TALL,aq_sp_yield_min,0.010022917,Top10
LHC0122,TALL,aq_sp_yield_min,0.018317928,Top10
LHC0126,TALL,aq_sp_yield_min,0.010553246,Top10
LHC0138,TALL,aq_sp_yield_min,0.010818475,Top10
LHC0147,TALL,aq_sp_yield_min,0.011329111,Top10
LHC0148,TALL,aq_sp_yield_min,0.019555578,Top10
LHC0154,TALL,aq_sp_yield_min,0.018026019,Top10
LHC0158,TALL,aq_sp_yield_min,0.013181677,Top10
LHC0164,TALL,aq_sp_yield_min,0.011075336,Top10
LHC0178,TALL,aq_sp_yield_min,0.010035475,Top10
LHC0190,TALL,aq_sp_yield_min,0.010472565,Top10
LHC0193,TALL,aq_sp_yield_min,0.019736556,Top10
LHC0194,TALL,aq_sp_yield_min,0.017152781,Top10
LHC0214,TALL,aq_sp_yield_min,0.012024064,Top10
LHC0221,TALL,aq_sp_yield_min,0.013940685,Top10
LHC0224,TALL,aq_sp_yield_min,0.0161223,Top10
LHC0232,TALL,aq_sp_yield_min,0.018941997,Top10
LHC0240,TALL,aq_sp_yield_min,0.015549139,Top10
LHC0246,TALL,aq_sp_yield_min,0.01938571,Top10
LHC0248,TALL,aq_sp_yield_min,0.017665553,Top10
LHC0253,TALL,aq_sp_yield_min,0.011760111,Top10
LHC0278,TALL,aq_sp_yield_min,0.01587558,Top10
LHC0323,TALL,aq_sp_yield_min,0.01798091,Top10
LHC0331,TALL,aq_sp_yield_min,0.011403401,Top10
LHC0337,TALL,aq_sp_yield_min,0.016683042,Top10
LHC0339,TALL,aq_sp_yield_min,0.011382433,Top10
LHC0359,TALL,aq_sp_yield_min,0.014323291,Top10
LHC0362,TALL,aq_sp_yield_min,0.018533821,Top10
LHC0365,TALL,aq_sp_yield_min,0.014241939,Top10
LHC0005,OSBS,aq_sp_yield_min,0.012277631,Top10
LHC0030,OSBS,aq_sp_yield_min,0.016412267,Top10
LHC0036,OSBS,aq_sp_yield_min,0.012267375,Top10
LHC0039,OSBS,aq_sp_yield_min,0.011945493,Top10
LHC0053,OSBS,aq_sp_yield_min,0.014808758,Top10
LHC0057,OSBS,aq_sp_yield_min,0.015753874,Top10
LHC0078,OSBS,aq_sp_yield_min,0.014202469,Top10
LHC0088,OSBS,aq_sp_yield_min,0.012498932,Top10
LHC0094,OSBS,aq_sp_yield_min,0.01092158,Top10
LHC0115,OSBS,aq_sp_yield_min,0.010022917,Top10
LHC0119,OSBS,aq_sp_yield_min,0.011258481,Top10
LHC0126,OSBS,aq_sp_yield_min,0.010553246,Top10
LHC0138,OSBS,aq_sp_yield_min,0.010818475,Top10
LHC0140,OSBS,aq_sp_yield_min,0.011985038,Top10
LHC0147,OSBS,aq_sp_yield_min,0.011329111,Top10
LHC0148,OSBS,aq_sp_yield_min,0.019555578,Top10
LHC0154,OSBS,aq_sp_yield_min,0.018026019,Top10
LHC0164,OSBS,aq_sp_yield_min,0.011075336,Top10
LHC0177,OSBS,aq_sp_yield_min,0.011880489,Top10
LHC0181,OSBS,aq_sp_yield_min,0.019335356,Top10
LHC0190,OSBS,aq_sp_yield_min,0.010472565,Top10
LHC0193,OSBS,aq_sp_yield_min,0.019736556,Top10
LHC0194,OSBS,aq_sp_yield_min,0.017152781,Top10
LHC0214,OSBS,aq_sp_yield_min,0.012024064,Top10
LHC0224,OSBS,aq_sp_yield_min,0.0161223,Top10
LHC0232,OSBS,aq_sp_yield_min,0.018941997,Top10
LHC0236,OSBS,aq_sp_yield_min,0.013921648,Top10
LHC0245,OSBS,aq_sp_yield_min,0.013013703,Top10
LHC0246,OSBS,aq_sp_yield_min,0.01938571,Top10
LHC0248,OSBS,aq_sp_yield_min,0.017665553,Top10
LHC0278,OSBS,aq_sp_yield_min,0.01587558,Top10
LHC0331,OSBS,aq_sp_yield_min,0.011403401,Top10
LHC0339,OSBS,aq_sp_yield_min,0.011382433,Top10
LHC0343,OSBS,aq_sp_yield_min,0.010191103,Top10
LHC0359,OSBS,aq_sp_yield_min,0.014323291,Top10
LHC0362,OSBS,aq_sp_yield_min,0.018533821,Top10
LHC0378,OSBS,aq_sp_yield_min,0.014403634,Top10
LHC0005,ORNL,aq_sp_yield_min,0.012277631,Top10
LHC0010,ORNL,aq_sp_yield_min,0.01362569,Top10
LHC0013,ORNL,aq_sp_yield_min,0.016818791,Top10
LHC0038,ORNL,aq_sp_yield_min,0.013495957,Top10
LHC0039,ORNL,aq_sp_yield_min,0.011945493,Top10
LHC0050,ORNL,aq_sp_yield_min,0.016326194,Top10
LHC0051,ORNL,aq_sp_yield_min,0.015259706,Top10
LHC0067,ORNL,aq_sp_yield_min,0.012393984,Top10
LHC0076,ORNL,aq_sp_yield_min,0.014516726,Top10
LHC0101,ORNL,aq_sp_yield_min,0.012080402,Top10
LHC0102,ORNL,aq_sp_yield_min,0.019223132,Top10
LHC0126,ORNL,aq_sp_yield_min,0.010553246,Top10
LHC0157,ORNL,aq_sp_yield_min,0.011509542,Top10
LHC0168,ORNL,aq_sp_yield_min,0.019764079,Top10
LHC0170,ORNL,aq_sp_yield_min,0.0124424,Top10
LHC0190,ORNL,aq_sp_yield_min,0.010472565,Top10
LHC0206,ORNL,aq_sp_yield_min,0.01513768,Top10
LHC0209,ORNL,aq_sp_yield_min,0.011796397,Top10
LHC0212,ORNL,aq_sp_yield_min,0.019592334,Top10
LHC0225,ORNL,aq_sp_yield_min,0.014965879,Top10
LHC0232,ORNL,aq_sp_yield_min,0.018941997,Top10
LHC0240,ORNL,aq_sp_yield_min,0.015549139,Top10
LHC0264,ORNL,aq_sp_yield_min,0.018506234,Top10
LHC0274,ORNL,aq_sp_yield_min,0.011533829,Top10
LHC0283,ORNL,aq_sp_yield_min,0.015788852,Top10
LHC0287,ORNL,aq_sp_yield_min,0.013222606,Top10
LHC0303,ORNL,aq_sp_yield_min,0.011192054,Top10
LHC0310,ORNL,aq_sp_yield_min,0.010713602,Top10
LHC0326,ORNL,aq_sp_yield_min,0.012667796,Top10
LHC0336,ORNL,aq_sp_yield_min,0.010140262,Top10
LHC0338,ORNL,aq_sp_yield_min,0.012420468,Top10
LHC0344,ORNL,aq_sp_yield_min,0.019819116,Top10
LHC0361,ORNL,aq_sp_yield_min,0.015479139,Top10
LHC0390,ORNL,aq_sp_yield_min,0.012125482,Top10
LHC0396,ORNL,aq_sp_yield_min,0.018985709,Top10
LHC0005,TALL,fff,0.057160884,Top10
LHC0036,TALL,fff,0.611570412,Top10
LHC0041,TALL,fff,4.57438801,Top10
LHC0050,TALL,fff,3.214423344,Top10
LHC0057,TALL,fff,0.31761549,Top10
LHC0062,TALL,fff,2.075362619,Top10
LHC0078,TALL,fff,0.955906686,Top10
LHC0088,TALL,fff,1.488990119,Top10
LHC0115,TALL,fff,4.24538427,Top10
LHC0122,TALL,fff,3.471537066,Top10
LHC0126,TALL,fff,3.448759235,Top10
LHC0138,TALL,fff,0.730263621,Top10
LHC0147,TALL,fff,2.688460126,Top10
LHC0148,TALL,fff,3.007327178,Top10
LHC0154,TALL,fff,0.454656088,Top10
LHC0158,TALL,fff,2.095382055,Top10
LHC0164,TALL,fff,0.865869853,Top10
LHC0178,TALL,fff,1.645181916,Top10
LHC0190,TALL,fff,3.672635181,Top10
LHC0193,TALL,fff,2.664599882,Top10
LHC0194,TALL,fff,3.242129697,Top10
LHC0214,TALL,fff,1.253618419,Top10
LHC0221,TALL,fff,4.791554645,Top10
LHC0224,TALL,fff,2.490591859,Top10
LHC0232,TALL,fff,3.303587275,Top10
LHC0240,TALL,fff,3.53933643,Top10
LHC0246,TALL,fff,1.578348832,Top10
LHC0248,TALL,fff,2.770828088,Top10
LHC0253,TALL,fff,2.777987905,Top10
LHC0278,TALL,fff,0.787257732,Top10
LHC0323,TALL,fff,1.689547512,Top10
LHC0331,TALL,fff,2.137497709,Top10
LHC0337,TALL,fff,4.100524458,Top10
LHC0339,TALL,fff,2.255492231,Top10
LHC0359,TALL,fff,1.941969852,Top10
LHC0362,TALL,fff,2.557134691,Top10
LHC0365,TALL,fff,0.655041559,Top10
LHC0005,OSBS,fff,0.057160884,Top10
LHC0030,OSBS,fff,3.180685513,Top10
LHC0036,OSBS,fff,0.611570412,Top10
LHC0039,OSBS,fff,3.426501482,Top10
LHC0053,OSBS,fff,4.729838281,Top10
LHC0057,OSBS,fff,0.31761549,Top10
LHC0078,OSBS,fff,0.955906686,Top10
LHC0088,OSBS,fff,1.488990119,Top10
LHC0094,OSBS,fff,1.993515244,Top10
LHC0115,OSBS,fff,4.24538427,Top10
LHC0119,OSBS,fff,0.878733881,Top10
LHC0126,OSBS,fff,3.448759235,Top10
LHC0138,OSBS,fff,0.730263621,Top10
LHC0140,OSBS,fff,4.834176805,Top10
LHC0147,OSBS,fff,2.688460126,Top10
LHC0148,OSBS,fff,3.007327178,Top10
LHC0154,OSBS,fff,0.454656088,Top10
LHC0164,OSBS,fff,0.865869853,Top10
LHC0177,OSBS,fff,2.215869202,Top10
LHC0181,OSBS,fff,1.815042954,Top10
LHC0190,OSBS,fff,3.672635181,Top10
LHC0193,OSBS,fff,2.664599882,Top10
LHC0194,OSBS,fff,3.242129697,Top10
LHC0214,OSBS,fff,1.253618419,Top10
LHC0224,OSBS,fff,2.490591859,Top10
LHC0232,OSBS,fff,3.303587275,Top10
LHC0236,OSBS,fff,4.378684893,Top10
LHC0245,OSBS,fff,1.74289806,Top10
LHC0246,OSBS,fff,1.578348832,Top10
LHC0248,OSBS,fff,2.770828088,Top10
LHC0278,OSBS,fff,0.787257732,Top10
LHC0331,OSBS,fff,2.137497709,Top10
LHC0339,OSBS,fff,2.255492231,Top10
LHC0343,OSBS,fff,4.018744655,Top10
LHC0359,OSBS,fff,1.941969852,Top10
LHC0362,OSBS,fff,2.557134691,Top10
LHC0378,OSBS,fff,2.42795275,Top10
LHC0005,ORNL,fff,0.057160884,Top10
LHC0010,ORNL,fff,4.104120212,Top10
LHC0013,ORNL,fff,2.531675136,Top10
LHC0038,ORNL,fff,4.608424615,Top10
LHC0039,ORNL,fff,3.426501482,Top10
LHC0050,ORNL,fff,3.214423344,Top10
LHC0051,ORNL,fff,4.400223564,Top10
LHC0067,ORNL,fff,3.490890524,Top10
LHC0076,ORNL,fff,0.205951214,Top10
LHC0101,ORNL,fff,3.10546816,Top10
LHC0102,ORNL,fff,3.76693871,Top10
LHC0126,ORNL,fff,3.448759235,Top10
LHC0157,ORNL,fff,3.823157825,Top10
LHC0168,ORNL,fff,4.177367583,Top10
LHC0170,ORNL,fff,3.530799247,Top10
LHC0190,ORNL,fff,3.672635181,Top10
LHC0206,ORNL,fff,3.71769833,Top10
LHC0209,ORNL,fff,1.399187387,Top10
LHC0212,ORNL,fff,4.162962073,Top10
LHC0225,ORNL,fff,0.191530774,Top10
LHC0232,ORNL,fff,3.303587275,Top10
LHC0240,ORNL,fff,3.53933643,Top10
LHC0264,ORNL,fff,4.438817593,Top10
LHC0274,ORNL,fff,1.955776916,Top10
LHC0283,ORNL,fff,1.277224529,Top10
LHC0287,ORNL,fff,4.984637862,Top10
LHC0303,ORNL,fff,4.53106458,Top10
LHC0310,ORNL,fff,2.61024804,Top10
LHC0326,ORNL,fff,4.615370723,Top10
LHC0336,ORNL,fff,0.715910695,Top10
LHC0338,ORNL,fff,0.365668672,Top10
LHC0344,ORNL,fff,0.370253281,Top10
LHC0361,ORNL,fff,2.063951644,Top10
LHC0390,ORNL,fff,0.207201882,Top10
LHC0396,ORNL,fff,1.809182067,Top10
LHC0005,TALL,hksat_sf,6.922051681,Top10
LHC0036,TALL,hksat_sf,2.047009732,Top10
LHC0041,TALL,hksat_sf,6.479416369,Top10
LHC0050,TALL,hksat_sf,5.546559437,Top10
LHC0057,TALL,hksat_sf,9.400958361,Top10
LHC0062,TALL,hksat_sf,6.973047702,Top10
LHC0078,TALL,hksat_sf,2.617719256,Top10
LHC0088,TALL,hksat_sf,8.133487252,Top10
LHC0115,TALL,hksat_sf,3.67379748,Top10
LHC0122,TALL,hksat_sf,1.926053529,Top10
LHC0126,TALL,hksat_sf,0.489266239,Top10
LHC0138,TALL,hksat_sf,6.852063301,Top10
LHC0147,TALL,hksat_sf,7.818145591,Top10
LHC0148,TALL,hksat_sf,8.638710649,Top10
LHC0154,TALL,hksat_sf,2.483849094,Top10
LHC0158,TALL,hksat_sf,5.699107785,Top10
LHC0164,TALL,hksat_sf,6.871541623,Top10
LHC0178,TALL,hksat_sf,1.48962014,Top10
LHC0190,TALL,hksat_sf,9.847201008,Top10
LHC0193,TALL,hksat_sf,2.395662369,Top10
LHC0194,TALL,hksat_sf,7.078016505,Top10
LHC0214,TALL,hksat_sf,2.365805213,Top10
LHC0221,TALL,hksat_sf,8.17167084,Top10
LHC0224,TALL,hksat_sf,3.270921779,Top10
LHC0232,TALL,hksat_sf,1.835707132,Top10
LHC0240,TALL,hksat_sf,8.583074668,Top10
LHC0246,TALL,hksat_sf,0.299578044,Top10
LHC0248,TALL,hksat_sf,9.900742156,Top10
LHC0253,TALL,hksat_sf,5.6029024,Top10
LHC0278,TALL,hksat_sf,6.033247804,Top10
LHC0323,TALL,hksat_sf,9.071434773,Top10
LHC0331,TALL,hksat_sf,7.287580014,Top10
LHC0337,TALL,hksat_sf,5.87158683,Top10
LHC0339,TALL,hksat_sf,2.571532164,Top10
LHC0359,TALL,hksat_sf,1.433481323,Top10
LHC0362,TALL,hksat_sf,5.798097035,Top10
LHC0365,TALL,hksat_sf,1.128578489,Top10
LHC0005,OSBS,hksat_sf,6.922051681,Top10
LHC0030,OSBS,hksat_sf,4.09564278,Top10
LHC0036,OSBS,hksat_sf,2.047009732,Top10
LHC0039,OSBS,hksat_sf,6.952964675,Top10
LHC0053,OSBS,hksat_sf,5.49332031,Top10
LHC0057,OSBS,hksat_sf,9.400958361,Top10
LHC0078,OSBS,hksat_sf,2.617719256,Top10
LHC0088,OSBS,hksat_sf,8.133487252,Top10
LHC0094,OSBS,hksat_sf,4.052568064,Top10
