Site,Variable,Month,Product,Value
TALL,GPP,1,FluxCOM,1.8637763235294118
TALL,GPP,2,FluxCOM,3.179462194117647
TALL,GPP,3,FluxCOM,5.892345211764706
TALL,GPP,4,FluxCOM,7.423432505882353
TALL,GPP,5,FluxCOM,7.82364685
TALL,GPP,6,FluxCOM,7.445252570588235
TALL,GPP,7,FluxCOM,6.496869667647059
TALL,GPP,8,FluxCOM,5.097780711764706
TALL,GPP,9,FluxCOM,3.347691052941176
TALL,GPP,10,FluxCOM,1.8766936852941176
TALL,GPP,11,FluxCOM,1.2802279411764705
TALL,GPP,12,FluxCOM,1.2975988575757575
TALL,GPP,1,MODIS,1.7263894149999999
TALL,GPP,2,MODIS,1.9682901350000002
TALL,GPP,3,MODIS,2.6152926238095238
TALL,GPP,4,MODIS,5.877729342857143
TALL,GPP,5,MODIS,9.505614928571427
TALL,GPP,6,MODIS,9.877450952380952
TALL,GPP,7,MODIS,9.303382976190475
TALL,GPP,8,MODIS,8.07657646
TALL,GPP,9,MODIS,6.24931256
TALL,GPP,10,MODIS,4.251938925
TALL,GPP,11,MODIS,2.48116967
TALL,GPP,12,MODIS,1.7642723449999997
TALL,GPP,1,GOSIF,1.4042081727272728
TALL,GPP,2,GOSIF,1.7578957363636363
TALL,GPP,3,GOSIF,2.536872291304348
TALL,GPP,4,GOSIF,6.246579660869565
TALL,GPP,5,GOSIF,9.791640891304349
TALL,GPP,6,GOSIF,9.594898456521738
TALL,GPP,7,GOSIF,8.718611260869565
TALL,GPP,8,GOSIF,7.791893256521739
TALL,GPP,9,GOSIF,6.526507104347826
TALL,GPP,10,GOSIF,4.823898904347826
TALL,GPP,11,GOSIF,2.652420243478261
TALL,GPP,12,GOSIF,1.5060308260869564
TALL,GPP,1,NEON,1.2376202126938838
TALL,GPP,2,NEON,1.4831143627338443
TALL,GPP,3,NEON,2.4392414798430964
TALL,GPP,4,NEON,4.858368776316617
TALL,GPP,5,NEON,6.728952385590503
TALL,GPP,6,NEON,6.7863301563121325
TALL,GPP,7,NEON,6.273466721109057
TALL,GPP,8,NEON,5.955203547205781
TALL,GPP,9,NEON,3.9251835202147203
TALL,GPP,10,NEON,3.22847901593489
TALL,GPP,11,NEON,2.4405027278399998
TALL,GPP,12,NEON,1.3422900043702914
TALL,ET,1,ERA5,30.22116855051282
TALL,ET,2,ERA5,42.24802372025641
TALL,ET,3,ERA5,66.94757354051282
TALL,ET,4,ERA5,104.32796226307693
TALL,ET,5,ERA5,115.94353252410257
TALL,ET,6,ERA5,113.13946526205127
TALL,ET,7,ERA5,112.23033363512822
TALL,ET,8,ERA5,104.23814275153846
TALL,ET,9,ERA5,81.93905414948719
TALL,ET,10,ERA5,57.53060330128205
TALL,ET,11,ERA5,41.35075942923077
TALL,ET,12,ERA5,31.114709754358973
TALL,ET,1,GLEAM4,34.75081464102564
TALL,ET,2,GLEAM4,40.34785435897436
TALL,ET,3,GLEAM4,62.76865592307693
TALL,ET,4,GLEAM4,94.13956007692308
TALL,ET,5,GLEAM4,120.20846782051282
TALL,ET,6,GLEAM4,126.21199851282053
TALL,ET,7,GLEAM4,133.9934453846154
TALL,ET,8,GLEAM4,120.39394317948718
TALL,ET,9,GLEAM4,93.54439197435897
TALL,ET,10,GLEAM4,67.58208333333333
TALL,ET,11,GLEAM4,41.66102669230769
TALL,ET,12,GLEAM4,32.57129935897436
TALL,ET,1,FluxCOM,15.179382500000001
TALL,ET,2,FluxCOM,18.011994476190477
TALL,ET,3,FluxCOM,31.110556857142857
TALL,ET,4,FluxCOM,63.87983809523809
TALL,ET,5,FluxCOM,107.12383290476191
TALL,ET,6,FluxCOM,118.83971890476191
TALL,ET,7,FluxCOM,117.26540404761904
TALL,ET,8,FluxCOM,102.9279761904762
TALL,ET,9,FluxCOM,86.89845933333334
TALL,ET,10,FluxCOM,63.59429866666667
TALL,ET,11,FluxCOM,28.37122528571428
TALL,ET,12,FluxCOM,15.736006047619046
TALL,ET,1,NEON,19.166863616225804
TALL,ET,2,NEON,22.13926530647342
TALL,ET,3,NEON,36.7592453267957
TALL,ET,4,NEON,70.067411248
TALL,ET,5,NEON,83.34347578096774
TALL,ET,6,NEON,88.15977623908333
TALL,ET,7,NEON,94.65027669225806
TALL,ET,8,NEON,94.99851950782258
TALL,ET,9,NEON,74.40727092526667
TALL,ET,10,NEON,50.994444574
TALL,ET,11,NEON,28.574260304858335
TALL,ET,12,NEON,20.146025296360484
OSBS,GPP,1,FluxCOM,2.7054677176470587
OSBS,GPP,2,FluxCOM,3.9690082235294115
OSBS,GPP,3,FluxCOM,5.182679741176471
OSBS,GPP,4,FluxCOM,5.503434097058824
OSBS,GPP,5,FluxCOM,6.47978545882353
OSBS,GPP,6,FluxCOM,7.138178702941176
OSBS,GPP,7,FluxCOM,6.804020276470588
OSBS,GPP,8,FluxCOM,5.920794138235294
OSBS,GPP,9,FluxCOM,4.392125820588236
OSBS,GPP,10,FluxCOM,2.7263336088235293
OSBS,GPP,11,FluxCOM,1.985722032352941
OSBS,GPP,12,FluxCOM,2.0975271575757577
OSBS,GPP,1,MODIS,1.8552732850000002
OSBS,GPP,2,MODIS,2.15494232
OSBS,GPP,3,MODIS,3.544831166666666
OSBS,GPP,4,MODIS,5.756697076190476
OSBS,GPP,5,MODIS,7.0376029904761905
OSBS,GPP,6,MODIS,7.611938738095239
OSBS,GPP,7,MODIS,7.424321771428572
OSBS,GPP,8,MODIS,6.633178259999999
OSBS,GPP,9,MODIS,5.00468961
OSBS,GPP,10,MODIS,3.541582765
OSBS,GPP,11,MODIS,2.563521375
OSBS,GPP,12,MODIS,2.0026501100000003
OSBS,GPP,1,GOSIF,2.2223166636363634
OSBS,GPP,2,GOSIF,2.5769423863636365
OSBS,GPP,3,GOSIF,3.3983028391304346
OSBS,GPP,4,GOSIF,4.9357535
OSBS,GPP,5,GOSIF,5.982285917391304
OSBS,GPP,6,GOSIF,6.283420256521739
OSBS,GPP,7,GOSIF,6.3537446
OSBS,GPP,8,GOSIF,6.178372934782608
OSBS,GPP,9,GOSIF,5.466796969565218
OSBS,GPP,10,GOSIF,4.239186417391304
OSBS,GPP,11,GOSIF,3.0867245652173914
OSBS,GPP,12,GOSIF,2.4336044260869567
OSBS,GPP,1,NEON,2.3627630428546067
OSBS,GPP,2,NEON,3.0970114690508685
OSBS,GPP,3,NEON,3.667263694749522
OSBS,GPP,4,NEON,4.89664071656064
OSBS,GPP,5,NEON,5.180146377662554
OSBS,GPP,6,NEON,5.93457039923904
OSBS,GPP,7,NEON,6.294609592834064
OSBS,GPP,8,NEON,5.337101458011252
OSBS,GPP,9,NEON,4.90351991541696
OSBS,GPP,10,NEON,4.0515974031669675
OSBS,GPP,11,NEON,3.07620439560576
OSBS,GPP,12,NEON,2.2306818747589783
OSBS,ET,1,ERA5,48.223347822307694
OSBS,ET,2,ERA5,62.927685243589735
OSBS,ET,3,ERA5,83.46982519282051
OSBS,ET,4,ERA5,99.34507389435898
OSBS,ET,5,ERA5,95.86328821025641
OSBS,ET,6,ERA5,112.13969969153845
OSBS,ET,7,ERA5,126.51966304128204
OSBS,ET,8,ERA5,119.70454982897435
OSBS,ET,9,ERA5,105.37287026871793
OSBS,ET,10,ERA5,81.5228826823077
OSBS,ET,11,ERA5,57.253349566153844
OSBS,ET,12,ERA5,43.844065155641026
OSBS,ET,1,GLEAM4,37.264588282051285
OSBS,ET,2,GLEAM4,43.03279171794872
OSBS,ET,3,GLEAM4,65.16966935897436
OSBS,ET,4,GLEAM4,85.43613715384615
OSBS,ET,5,GLEAM4,105.78909605128206
OSBS,ET,6,GLEAM4,101.78320284615384
OSBS,ET,7,GLEAM4,103.60800682051283
OSBS,ET,8,GLEAM4,95.79223953846154
OSBS,ET,9,GLEAM4,77.60458917948718
OSBS,ET,10,GLEAM4,63.14374920512821
OSBS,ET,11,GLEAM4,42.97081802564102
OSBS,ET,12,GLEAM4,34.13135846153846
OSBS,ET,1,FluxCOM,31.20626985714286
OSBS,ET,2,FluxCOM,34.81905295238095
OSBS,ET,3,FluxCOM,53.9690580952381
OSBS,ET,4,FluxCOM,82.85588395238095
OSBS,ET,5,FluxCOM,110.36204809523808
OSBS,ET,6,FluxCOM,112.19797528571429
OSBS,ET,7,FluxCOM,116.82068257142858
