Ensemble,aq_sp_yield_min,fff,hksat_sf,liq_canopy_storage_scalar,sucsat_sf,watsat_sf,zbedrock_sf,wc2wjb0,jmaxb0,cv,d_max,frac_sat_soil_dsl_init,act25,n_baseflow,nstem,leafcn,stem_leaf,froot_leaf,FUN_fracfixers,slatop,krmax,dleaf,medlynintercept,medlynslope,kmax,psi50,rootprof_beta,baseflow_scalar,maximum_leaf_wetted_fraction,jmaxb1
LHC0001,0.017402064,1.782025308,8.533294526,1.695480651,6.409102775,1.145607047,1.031580511,0.904311686,0.010214408,0.018445234,38.92326966,0.777860776,77.69209765,1.143291357,0.435130144,48.6751281,2.587988298,1.521792206,0.923312433,0.088736941,1.33E-10,0.00085551,34469.58648,3.966385358,2.61E-08,-406149.2131,0.933769738,0.033384624,0.198161936,0.052875067
LHC0002,0.013061191,4.84953473,1.020689806,1.866498084,7.675395087,0.869724314,0.977073842,1.390407394,0.010241571,0.015484063,35.35085203,0.913286937,72.60441873,1.698503267,0.416385459,53.52913109,1.947322455,1.525630273,0.442426459,0.030934901,7.65E-11,0.001022505,25296.95551,2.714062322,1.58E-08,-473257.5701,0.923110378,0.078134831,0.030696699,0.055083398
LHC0003,0.019010743,1.199182549,9.153660532,0.837864181,9.419011727,0.95873659,0.810571408,1.188235506,0.015051582,0.013570451,37.29298143,0.83273752,97.98772811,1.150006246,0.437348279,73.82353351,2.688468071,1.258669218,0.43943337,0.056722537,2.20E-10,0.00033796,345.5980421,1.933279125,3.75E-08,-293099.8166,0.951217775,0.073700993,0.229670027,0.235845799
LHC0004,0.011911057,4.712624964,5.691271484,1.732984634,2.953946819,1.014609716,1.025792691,0.853970552,0.010279565,0.01142,42.89804243,0.748300185,91.74439364,1.429590329,0.408054324,56.13463166,2.247768163,1.69407328,0.401758215,0.093196968,2.33E-10,0.000878327,46806.57438,2.58829898,3.32E-08,-342315.0532,0.928392368,0.06309459,0.331481468,0.174625355
LHC0005,0.012277631,0.057160884,6.922051681,0.406954297,5.908697652,1.133845753,0.806449704,1.42492039,0.01878497,0.01368388,17.81621202,0.653486514,78.80205719,1.735449166,0.210929092,65.18360484,2.415368921,1.251775279,0.908278865,0.037414243,2.43E-10,0.000370194,18371.18746,2.4072592,3.22E-08,-690231.5767,0.929207725,0.064613473,0.068955391,0.073834941
LHC0006,0.017060123,4.345997914,1.602585215,1.760028821,3.206159758,0.990294285,1.12356105,1.127787649,0.014988695,0.006401501,13.36523789,0.519515492,85.62655259,1.829901041,0.140740832,59.5485833,2.246612897,1.573593561,0.201065161,0.024566024,9.14E-11,0.000992404,11693.60853,2.547499043,2.29E-08,-440189.8837,0.917178504,0.046221421,0.073932398,0.227696619
LHC0007,0.016488159,3.05335358,7.891447223,0.971816685,8.354913164,0.864963054,0.96049382,1.186996951,0.012431504,0.006513612,25.77107387,0.615395079,105.3998033,1.182641127,0.281317206,70.9583986,2.729863039,1.334084213,0.754170932,0.077831022,4.45E-11,0.000749685,21708.91428,2.562611605,1.69E-08,-721109.8175,0.968446215,0.089588768,0.346410252,0.06825338
LHC0008,0.019184833,0.729365435,5.467905362,1.531324938,0.493567881,0.982163105,1.0724093,0.633884111,0.015769622,0.01467861,12.71370481,0.984578556,76.54048884,1.661233399,0.208858818,41.64096552,1.886882643,1.446056909,0.343551961,0.140992876,2.04E-10,0.000402718,32822.77771,2.603589069,3.52E-09,-722164.8959,0.945572579,0.013431412,0.162780132,0.178368275
LHC0009,0.014698492,4.357916688,3.526667143,1.221455237,8.597901055,1.075203895,1.083742039,1.098352399,0.012898022,0.019711174,41.11056073,0.529637546,93.40178192,1.047390462,0.0770755,44.99285832,1.982890963,1.730207665,0.603364235,0.029065018,2.31E-10,0.000559752,36984.58015,3.12033225,2.25E-08,-781456.8429,0.951807447,0.071949117,0.29024606,0.121533347
LHC0010,0.01362569,4.104120212,3.069652507,0.969745308,7.327998882,1.07157802,0.823704125,1.130138107,0.014243767,0.018475063,42.82754448,0.571388054,115.0630601,1.648278511,0.212348434,44.93111779,2.701912877,1.395024275,0.716621359,0.072644397,7.96E-11,0.000257841,1286.996094,3.110395082,1.89E-08,-556756.2587,0.936628853,0.0323047,0.218555452,0.094167627
LHC0011,0.013958887,1.000591249,6.786062803,1.800564603,9.275032285,0.98099699,0.926711856,1.297935537,0.013124318,0.012410501,33.39449374,0.905174076,108.552992,1.801616331,0.112802243,70.08179628,2.583634804,1.695735143,0.840072578,0.139739443,4.89E-11,0.000943922,12409.13649,3.228337851,1.29E-08,-513220.8199,0.979743988,0.013471544,0.216303454,0.142630587
LHC0012,0.019651483,4.059716494,9.870789013,1.995952847,0.477980491,0.826692422,0.911588353,1.357965085,0.016432365,0.006426188,33.31161455,0.827215805,71.03703117,1.693922349,0.160356774,59.68197688,2.360880074,1.673459802,0.894579267,0.032737879,2.37E-10,0.000365563,30210.75816,1.757168643,3.07E-08,-608622.187,0.969747091,0.071086615,0.320134966,0.207859117
LHC0013,0.016818791,2.531675136,7.624847765,1.483718961,2.653346206,0.906130994,0.998594071,0.629361871,0.015354604,0.010958425,53.75983486,0.561103122,87.06195491,1.238577866,0.421140148,44.36399466,2.065866809,1.399449222,0.680486584,0.041706211,1.28E-10,0.000339425,32740.97911,2.353566641,3.62E-08,-631927.8136,0.975105276,0.033682348,0.252504752,0.155473685
